judgeName,timeTaken,chosen,notChosen,createdAt
chec.b,60601,SSR2GF,LXWSDB,05/05/2020 01:39
chec.b,47094,2ELRUS,SYRK9H,05/05/2020 01:40
chec.b,82953,5PSEPL,6A9RP5,05/05/2020 01:41
chec.b,118048,K666ZB,D9QZAP,05/05/2020 01:43
chec.b,20234,KA7QET,HP5FJM,05/05/2020 01:43
chec.b,47304,GPFLE3,LH7GCM,05/05/2020 01:44
chec.b,15161,JPLJMG,2DLQNF,05/05/2020 01:44
chec.b,62230,USD3FM,HP5FJM,05/05/2020 01:45
chec.b,490497,FZ5SSR,NRHLWZ,05/05/2020 01:54
chec.b,40668,W6AQFG,D9QZAP,05/05/2020 01:54
chec.b,7770,7ZGMMM,2DLQNF,05/05/2020 01:55
chec.b,234301,XKYK63,QEDY2Q,05/05/2020 01:58
chec.b,153274,PVTCYX,3VSBPG,05/05/2020 02:01
chec.b,65994,VAUF6Z,B3SXKQ,05/05/2020 02:02
chec.b,133302,ATTJD5,KAQDP6,05/05/2020 02:04
chec.b,102179,WP75QJ,FZ5SSR,05/05/2020 02:06
chec.b,199120,EWXRWA,KNRAC5,05/05/2020 02:10
chec.b,74304,GXBBXE,VKSDGA,05/05/2020 02:11
chec.b,90553,TZ3P7X,B3SXKQ,05/05/2020 02:12
chec.b,19274,UZ5JXP,XKYK63,05/05/2020 02:13
chec.b,137770,SSR2GF,K666ZB,05/05/2020 02:15
chec.b,164725,2ELRUS,XFDS9L,05/05/2020 02:18
chec.b,34301,GBFWXF,2DLQNF,05/05/2020 02:18
chec.b,18418,USXLHX,UZ5JXP,05/05/2020 02:19
chec.b,17767,RA6CY5,LH7GCM,05/05/2020 02:19
chec.b,140952,HXKKYH,7ZGMMM,05/05/2020 02:21
idif.z,432905,KA7QET,QEDY2Q,29/04/2020 12:37
idif.z,40589,W6AQFG,VAUF6Z,29/04/2020 12:38
idif.z,81592,RHTKF7,ATTJD5,29/04/2020 12:39
idif.z,80184,XKYK63,NRHLWZ,29/04/2020 12:40
idif.z,81353,K666ZB,USXLHX,29/04/2020 12:42
idif.z,63380,EWXRWA,XFDS9L,29/04/2020 12:47
idif.z,33728,GXBBXE,XFDS9L,29/04/2020 12:48
idif.z,128282,TZ3P7X,KNRAC5,29/04/2020 12:50
idif.z,145053,SSR2GF,5PSEPL,29/04/2020 12:52
idif.z,286787,2ELRUS,UZ5JXP,29/04/2020 12:59
idif.z,135384,SSR2GF,GBFWXF,29/04/2020 13:01
idif.z,70601,RA6CY5,6A9RP5,29/04/2020 13:02
idif.z,157295,RHTKF7,HXKKYH,29/04/2020 13:05
idif.z,55064,GPFLE3,SSR2GF,30/04/2020 10:16
idif.z,27456,2ELRUS,VKSDGA,30/04/2020 10:16
idif.z,43581,NRHLWZ,HP5FJM,30/04/2020 10:17
idif.z,36274,HP5FJM,LH7GCM,30/04/2020 10:18
idif.z,45670,USD3FM,6A9RP5,30/04/2020 10:19
idif.z,83536,PVTCYX,JPLJMG,30/04/2020 10:20
idif.z,14523,6A9RP5,B3SXKQ,30/04/2020 10:20
idif.z,39667,PVTCYX,7ZGMMM,30/04/2020 10:21
idif.z,6284,KAQDP6,FW2NL5,30/04/2020 10:23
idif.z,39913,TZ3P7X,3VSBPG,30/04/2020 10:24
idif.z,110021,FZ5SSR,6A9RP5,30/04/2020 10:25
idif.z,35886,KA7QET,FW2NL5,30/04/2020 10:26
idif.z,34624,VAUF6Z,VKSDGA,30/04/2020 10:27
idif.z,99646,UZ5JXP,UP9CRQ,30/04/2020 10:28
idif.z,37913,ATTJD5,W6AQFG,30/04/2020 10:29
idif.z,53666,XKYK63,WP75QJ,30/04/2020 10:35
idif.z,69311,K666ZB,KAQDP6,30/04/2020 10:36
idif.z,37284,EWXRWA,B3SXKQ,30/04/2020 10:37
idif.z,39434,B3SXKQ,GXBBXE,30/04/2020 10:37
idif.z,104091,W6AQFG,GBFWXF,30/04/2020 10:39
idif.z,67137,RA6CY5,TZ3P7X,30/04/2020 10:40
idif.z,36203,HXKKYH,RA6CY5,30/04/2020 10:41
idif.z,50018,GPFLE3,EWXRWA,30/04/2020 10:42
idif.z,9483,JPLJMG,LXWSDB,30/04/2020 10:42
idif.z,12689,HP5FJM,5PSEPL,01/05/2020 14:14
idif.z,94367,FZ5SSR,D9QZAP,01/05/2020 14:16
idif.z,79587,GXBBXE,LH7GCM,01/05/2020 14:17
idif.z,93771,USXLHX,2DLQNF,01/05/2020 14:19
idif.z,103868,USD3FM,FW2NL5,01/05/2020 14:20
idif.z,128665,KA7QET,SYRK9H,01/05/2020 14:23
idif.z,60560,TZ3P7X,7ZGMMM,01/05/2020 14:24
idif.z,672483,QEDY2Q,7ZGMMM,01/05/2020 14:35
idif.z,25187,2ELRUS,3VSBPG,01/05/2020 14:35
idif.z,35891,2ELRUS,VAUF6Z,01/05/2020 14:36
idif.z,49259,3VSBPG,UP9CRQ,01/05/2020 14:37
idif.z,63705,ATTJD5,JPLJMG,01/05/2020 14:38
idif.z,46217,KA7QET,XKYK63,01/05/2020 14:39
idif.z,65686,K666ZB,2DLQNF,01/05/2020 14:40
idif.z,88130,GBFWXF,B3SXKQ,01/05/2020 14:41
idif.z,41791,QEDY2Q,KNRAC5,01/05/2020 14:43
idif.z,22109,HXKKYH,PVTCYX,01/05/2020 14:44
idif.z,43921,RHTKF7,JPLJMG,01/05/2020 14:45
idif.z,36918,GPFLE3,K666ZB,01/05/2020 14:46
idif.z,51778,KA7QET,VKSDGA,01/05/2020 14:47
idif.z,55587,B3SXKQ,LXWSDB,01/05/2020 14:48
idif.z,31996,NRHLWZ,5PSEPL,01/05/2020 14:48
idif.z,47903,WP75QJ,D9QZAP,01/05/2020 14:51
idif.z,64971,KAQDP6,LH7GCM,01/05/2020 14:52
idif.z,75823,RHTKF7,USD3FM,01/05/2020 14:53
idif.z,42941,GPFLE3,SYRK9H,01/05/2020 14:54
idif.z,65229,FZ5SSR,W6AQFG,01/05/2020 14:55
idif.z,62688,ATTJD5,VAUF6Z,01/05/2020 14:56
idif.z,216817,UP9CRQ,B3SXKQ,01/05/2020 15:00
idif.z,42760,XKYK63,LXWSDB,01/05/2020 15:01
idif.z,153548,EWXRWA,LH7GCM,01/05/2020 15:03
idif.z,48972,SSR2GF,GXBBXE,01/05/2020 15:04
idif.z,37461,UZ5JXP,WP75QJ,01/05/2020 15:05
idif.z,217635,HXKKYH,EWXRWA,02/05/2020 01:07
idif.z,32540,GBFWXF,GXBBXE,02/05/2020 01:08
idif.z,49144,KAQDP6,XKYK63,02/05/2020 01:09
idif.z,37191,UZ5JXP,TZ3P7X,02/05/2020 01:09
idif.z,42714,SSR2GF,PVTCYX,02/05/2020 01:10
idif.z,45579,USXLHX,USD3FM,02/05/2020 01:11
idif.z,38956,KNRAC5,XFDS9L,02/05/2020 01:11
idif.z,36586,RHTKF7,K666ZB,02/05/2020 01:12
idif.z,20978,GPFLE3,6A9RP5,02/05/2020 01:12
idif.z,37059,GXBBXE,5PSEPL,02/05/2020 01:13
idif.z,61423,VAUF6Z,D9QZAP,02/05/2020 01:14
idif.z,38472,GPFLE3,HP5FJM,02/05/2020 01:15
idif.z,29190,TZ3P7X,2DLQNF,02/05/2020 01:15
idif.z,56585,RHTKF7,NRHLWZ,02/05/2020 01:16
anig.a,99141,RA6CY5,ATTJD5,22/08/2020 21:43
anig.a,75177,KA7QET,WP75QJ,22/08/2020 21:45
anig.a,65655,KAQDP6,LXWSDB,22/08/2020 21:46
anig.a,69923,USXLHX,TZ3P7X,22/08/2020 21:47
anig.a,311310,GPFLE3,KNRAC5,22/08/2020 21:52
anig.a,50956,RHTKF7,GXBBXE,22/08/2020 21:53
anig.a,27906,GBFWXF,VKSDGA,22/08/2020 21:54
anig.a,34247,XKYK63,5PSEPL,22/08/2020 21:54
anig.a,77762,D9QZAP,GXBBXE,22/08/2020 21:55
anig.a,105162,2DLQNF,NRHLWZ,22/08/2020 21:57
anig.a,17340,UP9CRQ,6A9RP5,22/08/2020 21:58
anig.a,77839,SSR2GF,USD3FM,22/08/2020 21:59
anig.a,75434,PVTCYX,FW2NL5,22/08/2020 22:00
anig.a,52877,GBFWXF,SYRK9H,22/08/2020 22:01
anig.a,111355,RA6CY5,B3SXKQ,22/08/2020 22:03
anig.a,48982,JPLJMG,USXLHX,22/08/2020 22:04
anig.a,34520,7ZGMMM,VAUF6Z,22/08/2020 22:04
anig.a,91648,QEDY2Q,RA6CY5,22/08/2020 22:06
anig.a,43772,3VSBPG,KAQDP6,22/08/2020 22:07
anig.a,39970,FZ5SSR,2DLQNF,22/08/2020 22:07
anig.a,47305,UZ5JXP,ATTJD5,22/08/2020 22:08
anig.a,191201,RHTKF7,WP75QJ,22/08/2020 22:11
anig.a,26881,K666ZB,PVTCYX,22/08/2020 22:12
anig.a,28799,EWXRWA,FW2NL5,22/08/2020 22:12
anig.a,33565,2ELRUS,HP5FJM,22/08/2020 22:13
anig.a,110485,XFDS9L,VAUF6Z,22/08/2020 22:15
anig.a,13384,KNRAC5,5PSEPL,22/08/2020 22:15
anig.a,8367,NRHLWZ,VKSDGA,22/08/2020 22:15
anig.a,56898,LXWSDB,GXBBXE,22/08/2020 22:16
anig.a,4741,D9QZAP,6A9RP5,22/08/2020 22:16
anig.a,10201,USD3FM,5PSEPL,22/08/2020 22:16
anig.a,14713,XFDS9L,SYRK9H,22/08/2020 22:17
anig.a,26767,W6AQFG,FW2NL5,22/08/2020 22:17
anig.a,108610,XFDS9L,B3SXKQ,22/08/2020 22:19
anig.a,8787,JPLJMG,VKSDGA,22/08/2020 22:19
anig.a,64987,K666ZB,7ZGMMM,22/08/2020 22:20
anig.a,131648,QEDY2Q,GPFLE3,22/08/2020 22:23
anig.a,124811,3VSBPG,W6AQFG,22/08/2020 22:25
anig.a,248520,TZ3P7X,FZ5SSR,22/08/2020 22:29
anig.a,40733,KA7QET,PVTCYX,22/08/2020 22:29
anig.a,115928,UP9CRQ,SSR2GF,22/08/2020 22:31
anig.a,116010,GBFWXF,ATTJD5,22/08/2020 22:33
anig.a,103826,FZ5SSR,XKYK63,22/08/2020 22:35
anig.a,160076,WP75QJ,RA6CY5,22/08/2020 22:38
anig.a,126439,TZ3P7X,EWXRWA,22/08/2020 22:40
anig.a,120034,KAQDP6,GBFWXF,22/08/2020 22:42
anig.a,63136,LH7GCM,UZ5JXP,22/08/2020 22:43
anig.a,59422,2ELRUS,USXLHX,22/08/2020 22:44
anig.a,56371,KNRAC5,USD3FM,22/08/2020 22:45
anig.a,95136,HXKKYH,XFDS9L,22/08/2020 22:47
anig.a,91682,UP9CRQ,RHTKF7,22/08/2020 22:48
anig.a,127830,3VSBPG,LXWSDB,22/08/2020 22:50
anig.a,63517,SSR2GF,D9QZAP,22/08/2020 22:51
anig.a,95158,HP5FJM,ATTJD5,22/08/2020 22:53
anig.a,76038,2DLQNF,XKYK63,22/08/2020 22:54
anig.a,4246,KNRAC5,6A9RP5,22/08/2020 22:54
anig.a,84677,NRHLWZ,6A9RP5,22/08/2020 22:56
anig.a,80863,UZ5JXP,SYRK9H,22/08/2020 22:57
anig.a,19508,FZ5SSR,B3SXKQ,22/08/2020 22:58
anig.a,92563,JPLJMG,NRHLWZ,22/08/2020 22:59
anig.a,55852,7ZGMMM,2ELRUS,22/08/2020 23:00
anig.a,74020,QEDY2Q,VAUF6Z,22/08/2020 23:01
anig.a,43553,KA7QET,2ELRUS,22/08/2020 23:02
anig.a,103767,7ZGMMM,WP75QJ,22/08/2020 23:04
anig.a,114870,K666ZB,HXKKYH,22/08/2020 23:06
anig.a,84291,EWXRWA,QEDY2Q,22/08/2020 23:07
anig.a,21446,GPFLE3,KAQDP6,22/08/2020 23:08
anig.a,92039,USXLHX,KNRAC5,22/08/2020 23:09
anig.a,34742,RHTKF7,2DLQNF,22/08/2020 23:10
anig.a,31869,HP5FJM,VKSDGA,22/08/2020 23:10
anig.a,75685,FW2NL5,LXWSDB,22/08/2020 23:12
anig.a,3242,SYRK9H,5PSEPL,22/08/2020 23:12
anig.a,102879,UP9CRQ,D9QZAP,22/08/2020 23:13
anig.a,37396,K666ZB,LH7GCM,22/08/2020 23:14
anig.a,113128,EWXRWA,USD3FM,22/08/2020 23:16
anig.a,31314,XKYK63,PVTCYX,22/08/2020 23:17
anig.a,13068,W6AQFG,GXBBXE,22/08/2020 23:17
anig.a,57060,HXKKYH,B3SXKQ,22/08/2020 23:18
anig.a,76581,3VSBPG,JPLJMG,22/08/2020 23:19
anig.a,72267,3VSBPG,KA7QET,22/08/2020 23:20
anig.a,77556,TZ3P7X,VAUF6Z,22/08/2020 23:22
anig.a,49575,SSR2GF,ATTJD5,22/08/2020 23:22
anig.a,97417,TZ3P7X,WP75QJ,22/08/2020 23:24
anig.a,121726,KNRAC5,KAQDP6,22/08/2020 23:26
rtag.f,217740,XKYK63,7ZGMMM,02/05/2020 20:47
rtag.f,178052,WP75QJ,HXKKYH,02/05/2020 20:50
rtag.f,83551,K666ZB,2ELRUS,02/05/2020 20:51
rtag.f,105527,HXKKYH,GXBBXE,02/05/2020 20:53
rtag.f,46968,UZ5JXP,LXWSDB,02/05/2020 20:54
rtag.f,60439,6A9RP5,GBFWXF,02/05/2020 20:55
rtag.f,126628,GBFWXF,XFDS9L,02/05/2020 20:57
rtag.f,72643,RA6CY5,HP5FJM,02/05/2020 20:58
rtag.f,88808,XKYK63,RHTKF7,02/05/2020 21:00
rtag.f,88250,GPFLE3,KA7QET,02/05/2020 23:33
rtag.f,38529,RHTKF7,VKSDGA,02/05/2020 23:34
rtag.f,37395,USXLHX,D9QZAP,02/05/2020 23:35
rtag.f,46850,FZ5SSR,LH7GCM,02/05/2020 23:36
rtag.f,47781,3VSBPG,2DLQNF,02/05/2020 23:36
rtag.f,64403,USD3FM,W6AQFG,02/05/2020 23:37
rtag.f,66534,PVTCYX,2DLQNF,02/05/2020 23:39
rtag.f,76655,EWXRWA,NRHLWZ,02/05/2020 23:40
rtag.f,65351,B3SXKQ,KA7QET,02/05/2020 23:41
rtag.f,70856,GPFLE3,JPLJMG,02/05/2020 23:42
rtag.f,101622,QEDY2Q,FW2NL5,02/05/2020 23:44
rtag.f,102394,VAUF6Z,HXKKYH,02/05/2020 23:46
rtag.f,109193,UP9CRQ,JPLJMG,02/05/2020 23:48
rtag.f,84351,ATTJD5,K666ZB,02/05/2020 23:49
rtag.f,54852,WP75QJ,LH7GCM,02/05/2020 23:50
rtag.f,80781,EWXRWA,GXBBXE,02/05/2020 23:51
rtag.f,97203,HP5FJM,TZ3P7X,02/05/2020 23:53
rtag.f,68279,USXLHX,KAQDP6,02/05/2020 23:54
rtag.f,80629,B3SXKQ,UZ5JXP,02/05/2020 23:55
rtag.f,239098,SSR2GF,VAUF6Z,02/05/2020 23:59
rtag.f,141169,XFDS9L,HP5FJM,03/05/2020 00:02
rtag.f,77735,RA6CY5,FW2NL5,03/05/2020 00:03
rtag.f,106236,PVTCYX,VKSDGA,03/05/2020 00:05
rtag.f,126305,KAQDP6,D9QZAP,03/05/2020 00:07
rtag.f,68850,USD3FM,LXWSDB,03/05/2020 00:08
rtag.f,74917,WP75QJ,NRHLWZ,03/05/2020 00:10
rtag.f,137911,QEDY2Q,SYRK9H,03/05/2020 00:12
rtag.f,85512,WP75QJ,W6AQFG,03/05/2020 00:13
rtag.f,104235,UP9CRQ,7ZGMMM,03/05/2020 00:15
rtag.f,95004,GXBBXE,3VSBPG,03/05/2020 00:17
rtag.f,86653,ATTJD5,2ELRUS,03/05/2020 00:18
rtag.f,264610,XKYK63,VKSDGA,03/05/2020 00:23
rtag.f,90032,K666ZB,SYRK9H,03/05/2020 00:24
rtag.f,91456,TZ3P7X,5PSEPL,03/05/2020 00:26
rtag.f,62008,UZ5JXP,RHTKF7,03/05/2020 00:27
rtag.f,102189,SSR2GF,JPLJMG,03/05/2020 00:29
rtag.f,47068,GBFWXF,HXKKYH,03/05/2020 00:29
rtag.f,57811,XFDS9L,KAQDP6,03/05/2020 00:30
rtag.f,62635,UP9CRQ,RA6CY5,03/05/2020 00:31
rtag.f,80328,FZ5SSR,GPFLE3,03/05/2020 00:33
rtag.f,84318,TZ3P7X,D9QZAP,03/05/2020 00:34
rtag.f,89437,SYRK9H,LH7GCM,03/05/2020 00:36
rtag.f,52749,2DLQNF,GXBBXE,03/05/2020 00:37
rtag.f,88278,6A9RP5,2ELRUS,03/05/2020 00:38
rtag.f,60759,VAUF6Z,USD3FM,03/05/2020 00:39
rtag.f,81991,GBFWXF,GPFLE3,03/05/2020 10:22
rtag.f,52056,5PSEPL,VKSDGA,03/05/2020 10:23
rtag.f,72329,7ZGMMM,LH7GCM,03/05/2020 10:24
rtag.f,42870,PVTCYX,6A9RP5,03/05/2020 10:25
rtag.f,44708,RA6CY5,SYRK9H,03/05/2020 10:26
rtag.f,78964,SSR2GF,W6AQFG,03/05/2020 10:27
rtag.f,57468,B3SXKQ,VKSDGA,03/05/2020 10:28
rtag.f,81929,JPLJMG,HP5FJM,03/05/2020 10:30
rtag.f,57497,QEDY2Q,TZ3P7X,03/05/2020 10:31
rtag.f,60156,GXBBXE,FW2NL5,03/05/2020 10:32
rtag.f,94838,3VSBPG,XFDS9L,03/05/2020 10:33
rtag.f,38270,KA7QET,D9QZAP,03/05/2020 10:34
rtag.f,135806,PVTCYX,ATTJD5,03/05/2020 10:36
rtag.f,88728,6A9RP5,K666ZB,03/05/2020 10:38
rtag.f,70837,KAQDP6,HXKKYH,03/05/2020 10:39
rtag.f,60169,2ELRUS,2DLQNF,03/05/2020 10:40
rtag.f,42857,USXLHX,VKSDGA,03/05/2020 10:41
rtag.f,81151,KNRAC5,PVTCYX,03/05/2020 10:42
rtag.f,82083,RHTKF7,W6AQFG,03/05/2020 10:43
rtag.f,73812,GPFLE3,5PSEPL,03/05/2020 10:45
rtag.f,62978,KNRAC5,LH7GCM,03/05/2020 10:46
rtag.f,112859,GBFWXF,NRHLWZ,03/05/2020 10:48
rtag.f,92851,B3SXKQ,GPFLE3,03/05/2020 10:49
rtag.f,87455,B3SXKQ,FW2NL5,03/05/2020 10:51
rtag.f,92246,KA7QET,GXBBXE,03/05/2020 10:52
rtag.f,78152,UP9CRQ,D9QZAP,03/05/2020 10:54
rtag.f,78340,HXKKYH,ATTJD5,03/05/2020 10:55
rtag.f,48505,WP75QJ,ATTJD5,03/05/2020 10:56
rtag.f,85544,B3SXKQ,K666ZB,03/05/2020 10:57
rtag.f,69565,6A9RP5,EWXRWA,03/05/2020 10:59
iuaj.g,1918,GPFLE3,WP75QJ,24/06/2020 00:27
iuaj.g,50188,ATTJD5,GXBBXE,24/06/2020 00:28
iuaj.g,67433,SSR2GF,KAQDP6,24/06/2020 00:29
iuaj.g,38129,RA6CY5,UZ5JXP,24/06/2020 00:29
iuaj.g,22492,GBFWXF,2ELRUS,24/06/2020 00:30
iuaj.g,50551,XKYK63,HXKKYH,24/06/2020 00:31
iuaj.g,28194,RHTKF7,7ZGMMM,24/06/2020 00:31
iuaj.g,18572,HXKKYH,VKSDGA,24/06/2020 00:32
iuaj.g,25889,HXKKYH,LXWSDB,24/06/2020 00:32
iuaj.g,24845,7ZGMMM,5PSEPL,24/06/2020 00:32
iuaj.g,43822,3VSBPG,D9QZAP,24/06/2020 00:33
iuaj.g,30724,HP5FJM,HXKKYH,24/06/2020 00:34
iuaj.g,15744,XKYK63,LH7GCM,24/06/2020 00:34
iuaj.g,47456,RA6CY5,2DLQNF,24/06/2020 00:35
iuaj.g,39027,PVTCYX,TZ3P7X,24/06/2020 00:35
iuaj.g,23393,KA7QET,W6AQFG,24/06/2020 00:36
iuaj.g,37972,JPLJMG,GXBBXE,24/06/2020 00:37
iuaj.g,40007,QEDY2Q,KAQDP6,24/06/2020 00:37
iuaj.g,12539,SSR2GF,FW2NL5,24/06/2020 00:37
iuaj.g,61587,2ELRUS,FZ5SSR,24/06/2020 00:38
iuaj.g,14870,VAUF6Z,6A9RP5,24/06/2020 00:39
iuaj.g,50956,UP9CRQ,PVTCYX,24/06/2020 00:40
iuaj.g,54278,VAUF6Z,WP75QJ,24/06/2020 00:41
iuaj.g,37773,K666ZB,FZ5SSR,24/06/2020 00:41
iuaj.g,32913,SSR2GF,EWXRWA,24/06/2020 00:42
iuaj.g,16519,UZ5JXP,2DLQNF,24/06/2020 00:42
iuaj.g,60350,KA7QET,USXLHX,24/06/2020 00:43
iuaj.g,56152,7ZGMMM,XFDS9L,24/06/2020 00:44
iuaj.g,60659,KNRAC5,RHTKF7,24/06/2020 00:45
iuaj.g,37636,USD3FM,VKSDGA,24/06/2020 00:46
iuaj.g,47655,2ELRUS,LXWSDB,24/06/2020 00:47
iuaj.g,57036,LXWSDB,5PSEPL,24/06/2020 00:48
iuaj.g,7965,LH7GCM,D9QZAP,24/06/2020 00:48
iuaj.g,22174,HP5FJM,USXLHX,24/06/2020 00:48
iuaj.g,36755,W6AQFG,NRHLWZ,24/06/2020 00:49
iuaj.g,25371,SYRK9H,2DLQNF,24/06/2020 00:49
iuaj.g,19366,RHTKF7,B3SXKQ,24/06/2020 00:50
iuaj.g,33090,K666ZB,JPLJMG,24/06/2020 00:50
iuaj.g,27700,QEDY2Q,W6AQFG,24/06/2020 00:51
iuaj.g,9338,6A9RP5,FW2NL5,24/06/2020 00:51
iuaj.g,28215,EWXRWA,3VSBPG,24/06/2020 00:51
iuaj.g,9214,UP9CRQ,FW2NL5,24/06/2020 00:51
iuaj.g,80206,ATTJD5,XKYK63,24/06/2020 00:53
iuaj.g,37415,WP75QJ,FW2NL5,24/06/2020 00:53
iuaj.g,12024,KNRAC5,GXBBXE,24/06/2020 00:54
iuaj.g,32528,TZ3P7X,JPLJMG,24/06/2020 02:59
iuaj.g,33788,KAQDP6,GXBBXE,24/06/2020 02:59
iuaj.g,17694,HXKKYH,UZ5JXP,24/06/2020 03:00
iuaj.g,30068,TZ3P7X,XFDS9L,24/06/2020 03:00
iuaj.g,20550,UP9CRQ,VKSDGA,24/06/2020 03:00
iuaj.g,7176,2ELRUS,5PSEPL,24/06/2020 03:01
iuaj.g,12773,RA6CY5,D9QZAP,24/06/2020 03:01
iuaj.g,45792,HP5FJM,7ZGMMM,24/06/2020 03:02
iuaj.g,11202,TZ3P7X,LH7GCM,24/06/2020 03:02
iuaj.g,47595,USD3FM,JPLJMG,24/06/2020 03:03
iuaj.g,29747,PVTCYX,UZ5JXP,24/06/2020 03:03
iuaj.g,36615,GPFLE3,NRHLWZ,24/06/2020 03:04
iuaj.g,11847,SSR2GF,SYRK9H,24/06/2020 03:04
iuaj.g,40460,HP5FJM,B3SXKQ,24/06/2020 03:05
iuaj.g,36352,HXKKYH,QEDY2Q,24/06/2020 03:05
iuaj.g,54686,3VSBPG,FW2NL5,24/06/2020 03:06
iuaj.g,19270,FZ5SSR,USD3FM,24/06/2020 03:07
iuaj.g,12950,KA7QET,UZ5JXP,24/06/2020 03:07
iuaj.g,49693,VAUF6Z,KA7QET,24/06/2020 03:08
iuaj.g,90484,ATTJD5,6A9RP5,24/06/2020 03:09
iuaj.g,42675,WP75QJ,KAQDP6,24/06/2020 03:10
iuaj.g,1448,K666ZB,NRHLWZ,24/06/2020 03:11
iuaj.g,78913,K666ZB,EWXRWA,24/06/2020 03:12
iuaj.g,23303,USXLHX,3VSBPG,24/06/2020 03:13
iuaj.g,57267,GPFLE3,XFDS9L,24/06/2020 03:14
iuaj.g,15480,KNRAC5,2ELRUS,24/06/2020 03:14
iuaj.g,28447,HP5FJM,RHTKF7,24/06/2020 03:14
iuaj.g,14598,LXWSDB,VKSDGA,24/06/2020 03:15
iuaj.g,5310,GBFWXF,5PSEPL,24/06/2020 03:15
iuaj.g,12032,GPFLE3,D9QZAP,24/06/2020 03:15
iuaj.g,20449,SSR2GF,LH7GCM,24/06/2020 03:15
